vessel_IMO,vessel_SPEED_min,vessel_SPEED_mean,vessel_SPEED_median,vessel_SPEED_max,vessel_SPEED_std
9031894,,,,,
9044011,,,,,
9086734,,,,,
9181120,0.0,6.367221644120707,10.1,15.0,5.6293388341969335
9213117,0.0,6.130830788670107,0.2,21.2,7.361255220900894
9243497,0.0,2.3741339491916857,0.0,14.5,4.534265197379199
9252448,0.0,1.461632284294534,0.0,15.5,3.767295934824865
9267027,0.0,7.0654690618762475,10.3,15.4,5.319127007077714
9267857,0.0,4.001806364480459,0.1,16.6,5.0870099481965605
9321196,,,,,
9326770,,,,,
9333228,,,,,
9335886,0.0,4.333785046728972,0.1,15.3,5.669635968515491
9339935,0.0,3.585830518882407,0.1,15.7,5.198050310608062
9340752,0.0,9.599087353324641,12.5,19.9,6.81894700794402
9465095,,,,,
9466520,,,,,
9490313,,,,,
9493896,0.0,8.375984848484848,11.6,29.4,5.66484234170767
9542130,,,,,
9615145,0.0,4.01006528835691,0.1,15.9,5.767792055285552
9634907,0.0,7.288461538461538,11.0,13.8,5.573137856838094
9651747,0.0,7.661904761904762,11.2,14.5,5.5984056414090055
9706061,0.0,6.54144927536232,8.6,17.3,5.910236759278318
9760304,0.0,4.757752761257434,0.0,19.1,6.72213671717874
9761944,0.0,9.292002206287922,12.4,16.4,5.7097924303979
9863807,0.0,4.364754098360656,0.1,15.6,6.022457882208769
9873254,0.0,6.056488095238095,0.1,18.0,6.905199911448308
9877626,0.0,4.258122743682311,0.1,15.1,5.938719126961415
9910911,0.0,6.854344624447718,10.4,15.1,6.250546251451213
