geohash_5,COURSE
mrr71,69.5
mrr7m,68.1
mrref,70.2
mrru2,69.4
mrru9,65.1
mrrvn,63.6
mruc5,75.0
mrucm,255.5
mruue,248.5
mruvn,246.5
mruvp,70.7
mrv19,75.5
mrv1y,166.1
mrv60,256.3
mrv6k,76.9
mrv6m,255.60000000000002
mrvdd,74.2
mrvdu,254.35
mrvg4,255.9
mrvj6,68.4
mrvje,248.4
mrvjv,246.8
mrvjy,66.7
mrvq6,245.2
mrvq7,68.1
mrvqw,247.3
mrvwc,245.8
mrvx4,68.2
mrvxk,69.4
mrvxq,248.7
mrvzc,248.7
mrvzf,69.6
mry58,255.2
mry5u,257.5
mry5v,74.5
mryhp,255.9
mryk7,165.9
mrykm,255.8
mrys9,252.5
mrysg,255.6
mrytp,74.9
mryv0,254.9
mryv1,255.9
mryv3,254.1
mryvx,256.3
mrzjf,76.9
mrzjg,255.25
mrzju,75.7
mrzq3,256.3
mrzq6,74.6
mrzq7,255.6
mrzw8,75.4
mrzwc,255.5
mrzxn,77.2
mrzxp,256.4
mrzz0,255.7
mrzzw,256.5
mx2jt,70.3
mx2jz,66.3
mx2k2,60.5
mx2kv,62.0
mx2qw,69.3
mx2td,59.0
mx2tg,63.0
mx2x4,68.1
mx2xq,71.3
mx2y9,63.7
mx2z9,65.0
mx2zj,63.2
mx3p8,61.7
mx8bn,70.3
mx909,65.0
mx90j,62.4
mx91p,64.8
mx928,62.1
mx930,72.0
mx93m,58.0
mx93t,66.9
mx99b,62.9
mx9d1,67.8
mx9d7,72.7
mx9dk,61.0
mx9dx,63.0
mx9fb,65.9
mx9g4,64.2
mx9gt,73.0
mxbpc,166.0
mxbpg,75.4
mxd5d,71.7
mxd5v,69.4
mxdh5,70.8
mxdhq,71.0
mxdk6,69.3
mxdkt,64.9
mxdku,73.0
mxdt1,71.8
mxdt3,73.8
mxdt5,73.1
mxdtq,70.5
mxdtx,70.1
mxdvd,73.2
mxdy5,70.2
mxdyp,73.2
mxen2,70.1
mxen3,75.0
mxenu,69.0
mxenx,70.3
mxepp,72.0
mxer3,73.0
mxerq,69.8
mxerw,68.3
mxex9,73.7
mxexv,69.8
mxg85,72.7
mxgb1,71.0
mxgb8,73.3
mxgbg,72.9
mxgbm,72.2
mxgcp,73.0
mxu08,78.3
mxu17,68.9
mxu1j,73.3
mxu3b,69.8
mxu3e,63.3
mxu6h,70.5
mxu6x,69.4
mxud0,73.6
mxud9,69.1
mxudk,70.1
mxuep,66.4
mxufc,73.8
mxufu,72.2
mxug6,68.9
mxugy,72.2
mxv5s,74.4
mxv5z,72.2
mxvhk,70.0
mxvhw,70.0
mxvkf,72.0
mxvkk,71.2
mxvkx,68.9
mxvt2,73.0
mxvtn,71.6
mxvtz,70.3
mxvv6,75.8
mxvvw,76.3
mxvy7,68.8
mxyn1,70.0
mxyn8,72.1
mxyph,72.3
mxyq8,73.6
mxyqg,72.9
mxyre,69.0
mxyx0,69.2
mxyxt,75.0
mz37q,233.5
mz3ec,233.2
mz3st,235.9
mz3sz,235.0
mz3vu,236.3
mz3yr,235.4
mz6ee,55.6
mz6ev,58.4
mz6h0,52.9
mz6he,55.7
mz6jr,53.0
mz6ph,234.7
mz6pz,236.1
mz6qk,52.0
mz6qz,53.0
mz6u9,51.0
mz6us,52.3
mz6vr,51.1
mz6vw,50.0
mz6x7,50.7
mz7e2,47.4
mz7ef,44.5
mz7n0,49.9
mz7n5,53.8
mz7nd,47.0
mz7nz,53.3
mz7pr,51.6
mz7rs,53.9
mz7rv,52.7
mz7sk,49.0
mz7tp,47.8
mz7vf,44.5
mzd26,234.9
mzdb8,54.9
mzdck,52.0
mzddh,233.7
mzddq,233.6
mzdg7,235.8
mzdgy,235.1
mze1b,59.6
mze27,51.4
mze2t,54.5
mze4t,41.0
mze5p,53.6
mze7g,55.6
mze82,49.1
mze9g,54.3
mze9t,52.7
mzedq,50.7
mzef6,52.7
mzeg1,50.3
mzegj,52.2
mzegy,50.7
mzehd,235.5
mzejr,234.0
mzekz,53.4
mzemf,236.0
mzeqm,234.0
mzex6,234.1
mzexs,234.9
mzey2,52.3
mzezh,54.3
mzgb9,236.5
mzkp2,48.099999999999994
mzs0h,47.7
mzs0z,51.0
mzs3u,43.8
mzs6q,45.1
mzsh9,51.1
mzsjk,52.6
mzsjp,50.9
mzsmd,55.6
mzspb,52.9
mzsq3,52.3
mzsqq,53.1
mzsqu,53.9
mzssq,44.0
mzsv1,46.6
mzsve,46.7
mzsxs,52.5
mzsxv,52.7
mzsyn,42.6
mztp7,47.5
mztpy,46.7
mzu07,46.9
mzu1p,54.2
mzu3g,54.0
mzu41,236.0
mzu4k,233.3
mzu72,235.3
mzu7e,234.4
mzu8k,53.1
mzuc3,51.1
mzucq,51.4
mzudc,52.5
mzues,52.9
mzufj,53.7
mzukr,234.4
mzusp,55.4
mzut5,235.0
mzutz,235.5
mzuug,53.2
mzuye,235.0
mzv29,45.8
mzv41,50.8
mzv4s,52.6
mzv54,49.4
mzv5k,50.3
mzv79,51.1
mzvd3,45.3
mzvdg,47.0
mzvet,48.9
mzvjc,54.2
mzvk9,49.6
mzvkh,53.2
mzvm5,52.8
mzvnt,53.0
mzvp9,235.0
mzvr3,53.0
mzvrg,56.0
mzvtb,54.9
mzvtu,52.9
mzvu3,46.7
mzvug,48.0
mzvvm,47.7
mzvy2,53.5
mzvz5,53.8
mzvz9,49.2
mzyjb,45.6
mzypj,47.9
mzyrb,50.8
mzzzj,114.0
mzzzp,293.0
qp9zt,115.0
qpbgf,117.0
qpbgq,113.0
qpbgv,292.0
qpbgx,293.0
qpbmb,113.0
qpbmr,294.0
qpbms,114.0
qpbn7,116.0
qpbnc,294.0
qpbnd,115.0
qpbnr,293.0
qpbq1,293.0
qpbse,115.0
qpbsv,297.0
qpbu0,116.0
qpbu2,295.0
qpc3r,114.0
qpc3s,113.0
qpc4q,114.0
qpc4s,115.0
qpc4y,293.0
qpc55,292.0
qpc6h,294.0
qpc8r,115.0
qpc91,114.0
qpc98,292.0
qpc9j,294.0
qpcb1,113.0
qpcb9,293.0
qpcbk,293.0
qpdmv,115.0
qpdnw,115.0
qpdp5,115.0
qpdpc,294.0
qpdpp,293.0
qpdq5,112.0
qpdqe,296.0
qpdsy,115.0
qpdt8,115.0
qpdtc,291.0
qpdtr,295.0
qpdu6,114.0
qpduj,114.0
qpdv1,293.0
qpe58,115.0
qpe5g,294.0
qpe5h,115.0
qpe5u,296.0
qpe67,114.0
qpe68,114.0
qpe6w,294.0
qpe73,293.0
qpe97,116.0
qpe99,115.0
qpe9v,292.0
qpebb,115.0
qpebk,115.0
qpebp,115.0
qpeby,295.0
qpeck,293.0
qped5,292.0
qpkpc,114.0
qpkpj,116.0
qpkqd,114.0
qpkqq,111.0
qpkre,294.0
qpkrm,293.0
qpktd,115.0
qpktm,114.0
qpkuf,115.0
qpkvc,294.0
qpkvq,291.0
qpkwd,297.0
qpkwm,292.0
qpmh0,113.0
qpmhf,294.0
qpmhw,291.0
qprye,148.3
qpryj,146.3
qprzb,149.2
qps0d,294.0
qps0p,290.0
qpvk6,153.7
qpvkh,87.3
qpvnp,151.6
qpvpj,150.4
qpvps,151.5
qpvs5,92.5
qpvsp,93.9
qpvu5,86.7
qpx9j,146.2
qpxdc,151.1
qpxm6,150.5
qpxq3,179.9
qpxr3,181.2
qpye7,102.9
qpye8,102.2
qpyfy,104.0
qpygh,103.0
qpz2c,182.8
qpz4s,103.0
qpz63,130.0
qpz65,183.5
qpz6h,200.1
qpz6k,245.0
qr25h,146.1
qr2h3,147.0
qr7rc,117.0
qr7tx,128.2
qr7u7,163.4
qr7uf,143.9
qr7uq,196.7
qr7vp,210.0
qr7x0,117.9
qrcg6,238.60000000000002
qrcg7,249.5
qrcgm,273.4
qrcgp,127.6
qrcvq,174.4
qrcym,179.0
qrcyn,174.0
qrczv,174.8
qrdex,121.0
qrdg3,118.7
qrdsv,174.2
qrdxd,162.2
qrext,298.3
qreyg,301.0
qreyq,298.4
qreyy,137.6
qreyz,317.3
qrezh,108.9
qrezn,137.7
qrezs,307.0
qrf3t,151.5
qrf4g,101.2
qrf5h,271.2
qrf61,120.7
qrf6d,276.8
qrf6f,277.3
qrf7c,89.4
qrf7f,108.0
qrf7n,229.4
qrf7p,77.0
qrf81,158.0
qrfd2,269.5
qrfd7,276.0
qrfdv,110.9
qrfdw,110.2
qrff4,276.3
qrff5,109.6
qrffj,275.7
qrfu0,40.0
qrfuf,35.0
qrfxp,0.2
qrfyn,38.0
qrg1b,109.1
qrg1m,110.9
qrg1u,282.6
qrg1x,286.4
qrg32,286.7
qrg6j,307.5
qrg76,333.0
qrg7p,138.9
qrg8r,307.0
qrg93,308.0
qrg9n,137.9
qrg9u,319.0
qrgb0,289.9
qrgd5,139.7
qrgfx,317.0
qrgfz,145.65
qrggg,140.0
qrggj,319.0
qrggn,136.9
qrggr,158.3
qrggy,157.0
qrggz,125.0
qrghz,336.0
qrgk7,238.35
qrgkf,330.7
qrgkh,320.2
qrgm9,151.0
qrgnb,39.0
qrgns,336.0
qrgny,151.0
qrgp5,336.0
qrgpd,40.0
qrgpg,148.3
qrgrr,139.0
qrgrt,132.0
qrgrw,228.5
qrgrx,138.0
qrgrz,310.0
qrgtn,137.0
qrgtp,320.0
qrgtr,139.0
qrgtt,138.5
qrgty,138.0
qrgtz,132.0
qrgu4,138.6
qrgu8,320.0
qrgub,140.0
qrguf,145.2
qrgug,132.7
qrgum,156.3
qrguu,157.8
qrguv,155.5
qrgux,311.0
qrguz,133.9
qrgvc,310.0
qrgvg,156.6
qrgvh,234.6
qrgvr,351.8
qrgvx,353.9
qrgw6,140.0
qrgw7,319.0
qrgw9,134.0
qrgwc,139.0
qrgwe,135.0
qrgwf,133.0
qrgwj,134.0
qrgwm,142.5
qrgwq,312.0
qrgx4,312.0
qrgxj,307.0
qrgxz,156.35000000000002
qrgy3,307.0
qrgy4,307.0
qrgy5,154.3
qrgy6,154.8
qrgyc,156.2
qrgyd,156.39999999999998
qrgyj,151.0
qrgym,329.0
qrgyr,333.6
qrgyx,351.6
qrgz2,156.2
qrgz4,142.0
qrgz6,331.0
qrgz8,156.3
qrgz9,155.0
qrgzb,155.95
qrgzd,148.0
qrgze,316.0
qrgzj,317.0
qrgzq,352.9
qrgzw,350.8
qrgzy,352.2
qrk5r,198.9
qrk7b,13.149999999999999
qrkk0,108.64999999999999
qrkk8,4.2
qrkkg,150.55
qrkkh,342.6
qrkkj,172.0
qrkkk,147.1
qrkkn,242.4
qrkks,320.1
qrkku,315.79999999999995
qrkm1,358.2
qrkm5,315.3
qrkm6,314.0
qrkm7,144.5
qrkm9,325.25
qrkmc,179.0
qrkmd,148.9
qrkmh,145.4
qrkq1,267.1
qrkq3,100.45
qrkq9,12.15
qrkqc,195.9
qrkr1,177.8
qrkr3,156.3
qrkr9,250.54999999999998
qrkrb,334.7
qrkrc,161.0
qrs0p,341.0
qrs0r,159.6
qrs0w,349.0
qrs0x,253.5
qrs0z,260.0
qrs1n,182.4
qrs1p,179.9
qrs1q,181.5
qrs1r,168.4
qrs1w,181.8
qrs1x,183.0
qrs1y,270.15
qrs1z,91.3
qrs20,157.8
qrs22,256.25
qrs2b,161.0
qrs4n,179.05
qrs4q,183.0
qrs4r,180.1
qrs4w,4.4
qrs4x,356.7
qrs4y,189.8
qrs4z,95.10000000000001
qrs5j,258.45000000000005
qrs5m,261.25
qrs5p,9.3
qrs5r,190.0
qrs5t,169.0
qrs5w,358.0
qrs5y,179.0
qrs5z,188.75
qrs78,195.0
qrshm,353.2
qrshp,184.25
qrshq,355.1
qrshr,1.9000000000000001
qrshs,177.6
qrsht,170.0
qrshu,350.0
qrshw,179.8
qrshx,178.0
qrshy,168.9
qrshz,176.0
qrsjc,298.8
qrsje,138.9
qrsjh,168.0
qrsjj,347.0
qrsjn,348.45
qrsjp,197.0
qrsjq,173.25
qrsjr,345.8
qrsjt,308.0
qrsju,347.0
qrsjx,176.85
qrsjy,343.4
qrsk8,190.3
qrskc,196.0
qrsmb,196.4
qrsn8,211.5
qrsne,171.0
qrsng,339.0
qrsnj,349.3
qrsnm,168.0
qrsnn,164.4
qrsnq,167.55
qrsnt,164.0
qrsnv,347.0
qrsnw,254.65
qrsp7,256.5
qrspe,172.4
qrspg,346.0
qrspj,257.7
qrspk,168.7
qrspm,161.2
qrsps,166.0
qrspu,167.5
qrsq8,15.0
qrsqe,195.0
qrsr3,15.3
qrsrg,144.0
qrsrh,196.0
qrsrv,196.0
qru05,162.0
qru06,169.0
qru07,257.2
qru0e,165.8
qru0f,348.0
qru0g,344.29999999999995
qru0h,253.45
qru0k,164.1
qru11,167.0
qru13,168.0
qru15,253.70000000000002
qru16,163.6
qru17,169.2
qru1d,258.05
qru1f,343.0
qru2e,197.0
qru30,144.0
qru35,15.0
qru3h,198.0
qru3p,309.0
qru3s,219.5
qru41,170.0
qru42,154.0
qru43,160.4
qru46,142.2
qru49,351.2
qru4b,154.8
qru4c,351.9
qru4f,350.2
qru4v,123.0
qru4x,124.0
qru4z,312.0
qru50,149.05
qru51,350.9
qru53,133.3
qru59,351.4
qru5f,311.0
qru5q,131.8
qru5v,137.0
qru68,312.0
qru6c,313.6
qru6d,132.9
qru6h,15.0
qru6p,195.0
qru6t,313.0
qru6u,306.0
qru70,138.2
qru72,134.0
qru74,316.0
qru76,305.0
qru7b,317.0
qru88,312.0
qru8u,315.0
qrue0,197.0
qrue3,197.0
qruh0,352.1
qruh3,350.0
qruhb,350.85
qruhd,134.0
qruhe,308.0
qruhq,318.0
qruj0,220.5
qrujh,318.0
qrusg,195.0
qrute,198.0
qruxj,198.0
t2jbh,246.7
t2jbj,69.7
t2n08,67.1
t2n0d,248.3
t2n1j,67.6
t2n32,247.6
t2n33,68.9
t2n3v,248.9
t2n3y,70.5
t2nd0,249.6
t2nds,247.0
t2ndw,67.7
t2ndx,66.1
t2ng1,246.8
t2ng5,63.0
t2ngm,251.3
t2ngx,247.1
t2p5g,69.9
t2phm,247.9
t2phq,67.0
t2pkf,246.8
t2pkg,68.7
t2pmj,248.9
t2pte,159.0
t2pts,68.9
t2py3,158.5
t2pyt,249.6
t2pyz,67.8
t3urg,107.0
t3ux9,107.0
t3uxk,107.0
t3uxp,109.0
t3uxy,110.0
t3uys,109.0
t3uze,110.0
t3vgw,107.0
t3vm6,108.0
t3vm8,107.0
t3vmk,111.0
t3vn2,107.0
t3vnf,105.0
t3vns,111.0
t3vnz,106.1
t3vp4,105.8
t3vph,107.4
t3vq2,109.0
t3vq5,110.0
t3vq7,106.0
t3vsd,108.0
t3vsr,109.0
t3vt8,110.0
t3vtc,108.5
t3vtj,110.0
t3vtt,107.4
t3vu1,108.0
t3vuc,113.0
t3vus,111.0
t3vuy,107.9
t3vv5,106.2
t3vwy,287.0
t3vx3,290.0
t3vx5,292.0
t3vyk,293.0
t3vzs,293.0
t3xry,111.0
t3xrz,110.0
t3xx6,106.0
t3xxd,110.0
t3xxn,109.0
t3xyb,108.0
t3xye,109.0
t3xyg,107.0
t3xyr,108.0
t3xze,291.0
t3xzq,293.0
t3y56,106.0
t3y5n,107.0
t3y5u,109.0
t3y6z,109.0
t3y72,108.0
t3y7y,105.9
t3ycf,109.0
t3ycj,111.0
t3ycq,112.0
t3yd4,107.0
t3ydk,109.0
t3ydn,110.0
t3yek,109.0
t3yep,107.7
t3yeu,292.0
t3yfg,107.5
t3yfu,293.0
t3yg1,291.0
t3yh0,111.0
t3yje,296.0
t3yjp,293.0
t3yk1,104.3
t3yke,293.0
t3ymx,313.0
t3ynt,294.0
t3yq3,291.4
t3yrc,105.0
t3yrv,103.0
t3yth,292.0
t3yvq,119.7
t3yx2,118.0
t3yx6,103.0
t3yxk,108.0
t3yyg,105.0
t3yyx,104.0
t3yz0,104.0
t3z0e,107.0
t3z0q,107.0
t3z0w,110.0
t3z1v,292.0
t3z1z,290.0
t3z25,110.0
t3z3c,105.7
t3z3m,106.8
t3z42,104.9
t3z43,293.0
t3z4n,107.9
t3z5z,122.0
t3z70,292.3
t3z8b,292.0
t3z8m,293.0
t3z8p,292.0
t3z8y,106.8
t3z91,106.0
t3z9j,132.2
t3z9u,207.8
t3zbd,112.0
t3zbf,121.0
t3zbn,107.6
t3zc5,296.1
t3zhk,123.3
t3zmf,109.0
t3zmx,106.0
t3zn3,104.0
t3znp,104.0
t3zpg,291.6
t3zpv,290.3
t3zt5,106.0
t3zt6,104.0
t3zt7,105.0
t3ztp,106.0
t3zus,106.0
t3zuw,105.0
t6h2w,109.0
t6h34,110.0
t6h6z,293.0
t6h85,110.0
t6hcf,295.0
t6hcm,293.0
t6hdk,292.0
t6hew,107.0
t6hfy,106.0
t6hg5,294.2
t6hg6,108.0
t6hkm,104.0
t6hs1,105.0
t6hyn,120.2
t6j10,291.0
t6j22,293.0
t6j25,297.0
t6j3z,103.0
t6j4b,107.0
t6j4q,105.0
t6j61,104.0
t6j68,104.0
t6j7y,119.1
t6j9d,105.0
t6jbg,106.0
t6jcj,106.0
t6jcy,122.7
t6jdx,118.4
t6je5,118.1
t6jk7,119.0
t6jmm,286.5
t6jsw,291.7
t6kcu,26.6
t6kfz,28.3
t6mjv,31.9
t6mnx,26.4
t6n06,105.0
t6n0c,106.0
t6n0m,105.0
t6n0t,105.0
t6n0u,119.9
t6n21,118.7
t6n2h,106.0
t6t24,27.8
t6t2u,27.0
t6t6r,29.0
t6te1,26.3
t6tsk,24.0
t6ttq,29.0
t6ty2,30.0
t6tzu,28.0
t6u3g,259.0
t6ud0,259.0
t6v48,260.0
t6v4z,262.0
t6v74,261.0
t6vby,27.8
t6vcx,32.9
t6ve2,260.0
t6ve6,261.0
t6veq,261.0
t6vgs,262.0
t6y4d,27.8
t6y55,31.0
t6y5c,261.0
t6yhj,259.0
t6yhw,28.0
t6yjp,30.8
t6yk1,263.0
t6ykq,262.0
t6yqg,26.0
t6yrt,26.0
t6ys6,260.0
t6yst,256.0
t6yud,266.0
t6zhc,261.0
t6zjh,263.0
t6zm6,260.0
t6zmx,264.0
t6zts,262.0
t6ztz,262.0
t6zvv,261.0
t7mxz,134.0
t7myg,130.0
t7myq,134.0
t7nu8,27.7
t7nve,26.8
t7nyk,29.5
t7nzn,135.0
t7nzs,131.0
t7p7w,132.0
t7p9y,131.0
t7pbf,136.0
t7pbn,134.0
t7pdd,134.0
t7pjt,133.0
t7pk6,134.0
t7pn6,134.0
t7pvz,310.0
t7pxs,309.0
t7pyc,306.0
t7pyj,307.0
t7pz2,304.0
t7q6r,135.0
t7q6v,129.9
t7q7c,134.0
t7q97,131.0
t7qb2,133.0
t7qgz,308.5
t7qht,132.0
