geohash_5,DRAUGHT
mrr71,10.1
mrr7m,10.1
mrref,10.1
mrru2,10.1
mrru9,10.1
mrrvn,10.1
mruc5,10.3
mrucm,10.8
mruue,11.5
mruvn,11.5
mruvp,9.5
mrv19,10.3
mrv1y,10.4
mrv60,10.8
mrv6k,10.3
mrv6m,10.65
mrvdd,10.3
mrvdu,10.65
mrvg4,10.5
mrvj6,9.5
mrvje,11.5
mrvjv,11.5
mrvjy,9.5
mrvq6,11.5
mrvq7,9.5
mrvqw,11.5
mrvwc,11.5
mrvx4,9.5
mrvxk,9.5
mrvxq,11.5
mrvzc,11.5
mrvzf,9.5
mry58,10.5
mry5u,10.8
mry5v,10.3
mryhp,10.5
mryk7,10.55
mrykm,10.5
mrys9,10.8
mrysg,10.5
mrytp,10.3
mryv0,10.8
mryv1,10.5
mryv3,10.8
mryvx,10.5
mrzjf,10.3
mrzjg,10.65
mrzju,10.3
mrzq3,10.5
mrzq6,10.3
mrzq7,10.8
mrzw8,10.3
mrzwc,10.65
mrzxn,10.3
mrzxp,10.8
mrzz0,10.5
mrzzw,10.8
mx2jt,10.1
mx2jz,10.1
mx2k2,8.4
mx2kv,8.4
mx2qw,10.1
mx2td,8.4
mx2tg,8.4
mx2x4,10.1
mx2xq,10.1
mx2y9,8.4
mx2z9,10.1
mx2zj,8.4
mx3p8,8.4
mx8bn,10.1
mx909,10.1
mx90j,8.4
mx91p,10.1
mx928,8.4
mx930,10.1
mx93m,8.4
mx93t,10.1
mx99b,8.4
mx9d1,10.1
mx9d7,10.1
mx9dk,8.4
mx9dx,8.4
mx9fb,10.1
mx9g4,8.4
mx9gt,8.4
mxbpc,10.4
mxbpg,10.3
mxd5d,10.1
mxd5v,10.1
mxdh5,8.4
mxdhq,8.4
mxdk6,10.1
mxdkt,10.1
mxdku,8.4
mxdt1,8.4
mxdt3,8.4
mxdt5,10.1
mxdtq,10.1
mxdtx,8.4
mxdvd,10.1
mxdy5,8.4
mxdyp,10.1
mxen2,8.4
mxen3,10.1
mxenu,8.4
mxenx,10.1
mxepp,8.4
mxer3,8.4
mxerq,10.1
mxerw,8.4
mxex9,10.1
mxexv,10.1
mxg85,8.4
mxgb1,10.1
mxgb8,8.4
mxgbg,8.4
mxgbm,10.1
mxgcp,8.4
mxu08,10.1
mxu17,8.4
mxu1j,10.1
mxu3b,8.4
mxu3e,10.1
mxu6h,8.4
mxu6x,8.4
mxud0,10.1
mxud9,8.4
mxudk,10.1
mxuep,8.4
mxufc,10.1
mxufu,10.1
mxug6,8.4
mxugy,8.4
mxv5s,10.1
mxv5z,10.1
mxvhk,8.4
mxvhw,8.4
mxvkf,8.4
mxvkk,10.1
mxvkx,10.1
mxvt2,8.4
mxvtn,10.1
mxvtz,8.4
mxvv6,10.1
mxvvw,10.1
mxvy7,8.4
mxyn1,10.1
mxyn8,8.4
mxyph,8.4
mxyq8,10.1
mxyqg,10.1
mxyre,8.4
mxyx0,10.1
mxyxt,10.1
mz37q,7.8
mz3ec,7.8
mz3st,7.8
mz3sz,7.8
mz3vu,7.8
mz3yr,7.8
mz6ee,13.2
mz6ev,13.2
mz6h0,13.5
mz6he,13.5
mz6jr,13.5
mz6ph,7.8
mz6pz,7.8
mz6qk,13.5
mz6qz,13.5
mz6u9,13.2
mz6us,13.6
mz6vr,13.6
mz6vw,13.2
mz6x7,13.5
mz7e2,9.5
mz7ef,9.5
mz7n0,13.2
mz7n5,13.6
mz7nd,13.2
mz7nz,13.6
mz7pr,13.2
mz7rs,13.6
mz7rv,13.6
mz7sk,9.5
mz7tp,9.5
mz7vf,9.5
mzd26,7.8
mzdb8,13.5
mzdck,13.5
mzddh,7.8
mzddq,7.8
mzdg7,7.8
mzdgy,7.8
mze1b,13.5
mze27,13.2
mze2t,13.2
mze4t,13.5
mze5p,13.5
mze7g,13.5
mze82,13.6
mze9g,13.2
mze9t,13.6
mzedq,13.2
mzef6,13.6
mzeg1,13.2
mzegj,13.6
mzegy,13.2
mzehd,7.8
mzejr,7.8
mzekz,13.5
mzemf,7.8
mzeqm,7.8
mzex6,7.8
mzexs,7.8
mzey2,13.5
mzezh,13.5
mzgb9,7.8
mzkp2,9.5
mzs0h,9.5
mzs0z,9.5
mzs3u,9.5
mzs6q,9.5
mzsh9,13.2
mzsjk,13.2
mzsjp,13.6
mzsmd,13.6
mzspb,13.5
mzsq3,13.2
mzsqq,13.6
mzsqu,13.2
mzssq,9.5
mzsv1,9.5
mzsve,9.5
mzsxs,13.6
mzsxv,13.6
mzsyn,9.5
mztp7,9.5
mztpy,9.5
mzu07,13.5
mzu1p,13.5
mzu3g,13.5
mzu41,7.8
mzu4k,7.8
mzu72,7.8
mzu7e,7.8
mzu8k,13.2
mzuc3,13.2
mzucq,13.6
mzudc,13.5
mzues,13.5
mzufj,13.2
mzukr,7.8
mzusp,13.5
mzut5,7.8
mzutz,7.8
mzuug,13.5
mzuye,7.8
mzv29,9.5
mzv41,13.6
mzv4s,13.6
mzv54,13.2
mzv5k,13.2
mzv79,13.6
mzvd3,9.5
mzvdg,9.5
mzvet,9.5
mzvjc,13.5
mzvk9,13.2
mzvkh,13.6
mzvm5,13.2
mzvnt,13.5
mzvp9,7.8
mzvr3,13.5
mzvrg,13.5
mzvtb,13.2
mzvtu,13.6
mzvu3,9.5
mzvug,9.5
mzvvm,9.5
mzvy2,13.6
mzvz5,13.6
mzvz9,13.2
mzyjb,9.5
mzypj,9.5
mzyrb,9.5
mzzzj,11.8
mzzzp,12.0
qp9zt,11.7
qpbgf,11.8
qpbgq,11.7
qpbgv,12.0
qpbgx,12.0
qpbmb,11.8
qpbmr,12.0
qpbms,11.8
qpbn7,11.8
qpbnc,12.0
qpbnd,11.8
qpbnr,12.0
qpbq1,12.0
qpbse,11.8
qpbsv,12.0
qpbu0,11.8
qpbu2,12.0
qpc3r,11.7
qpc3s,11.7
qpc4q,11.8
qpc4s,11.8
qpc4y,12.0
qpc55,12.0
qpc6h,12.0
qpc8r,11.7
qpc91,11.7
qpc98,12.0
qpc9j,12.0
qpcb1,11.7
qpcb9,12.0
qpcbk,12.0
qpdmv,11.7
qpdnw,11.7
qpdp5,11.7
qpdpc,12.0
qpdpp,12.0
qpdq5,11.7
