geohash_5,HEADING
mrr71,297.0
mrr7m,158.0
mrref,232.0
mrru2,88.0
mrru9,190.0
mrrvn,33.0
mruc5,511.0
mrucm,511.0
mruue,245.0
mruvn,245.0
mruvp,511.0
mrv19,511.0
mrv1y,511.0
mrv60,511.0
mrv6k,511.0
mrv6m,511.0
mrvdd,511.0
mrvdu,511.0
mrvg4,511.0
mrvj6,511.0
mrvje,247.0
mrvjv,246.0
mrvjy,511.0
mrvq6,244.0
mrvq7,511.0
mrvqw,246.0
mrvwc,245.0
mrvx4,511.0
mrvxk,511.0
mrvxq,248.0
mrvzc,249.0
mrvzf,511.0
mry58,511.0
mry5u,511.0
mry5v,511.0
mryhp,511.0
mryk7,511.0
mrykm,511.0
mrys9,511.0
mrysg,511.0
mrytp,511.0
mryv0,511.0
mryv1,511.0
mryv3,511.0
mryvx,511.0
mrzjf,511.0
mrzjg,511.0
mrzju,511.0
mrzq3,511.0
mrzq6,511.0
mrzq7,511.0
mrzw8,511.0
mrzwc,511.0
mrzxn,511.0
mrzxp,511.0
mrzz0,511.0
mrzzw,511.0
mx2jt,264.0
mx2jz,259.0
mx2k2,59.0
mx2kv,62.0
mx2qw,263.0
mx2td,511.0
mx2tg,511.0
mx2x4,266.0
mx2xq,210.0
mx2y9,62.0
mx2z9,113.0
mx2zj,60.0
mx3p8,62.0
mx8bn,24.0
mx909,111.0
mx90j,62.0
mx91p,163.0
mx928,61.0
mx930,344.0
mx93m,61.0
mx93t,308.0
mx99b,62.0
mx9d1,233.0
mx9d7,240.0
mx9dk,60.0
mx9dx,511.0
mx9fb,95.0
mx9g4,61.0
mx9gt,70.0
mxbpc,511.0
mxbpg,511.0
mxd5d,177.0
mxd5v,106.0
mxdh5,69.0
mxdhq,511.0
mxdk6,146.0
mxdkt,297.0
mxdku,69.0
mxdt1,69.0
mxdt3,68.0
mxdt5,319.0
mxdtq,228.0
mxdtx,68.0
mxdvd,136.0
mxdy5,64.0
mxdyp,39.0
mxen2,67.0
mxen3,278.0
mxenu,68.0
mxenx,305.0
mxepp,511.0
mxer3,511.0
mxerq,5.0
mxerw,67.0
mxex9,337.0
mxexv,15.0
mxg85,71.0
mxgb1,335.0
mxgb8,72.0
mxgbg,70.0
mxgbm,96.0
mxgcp,70.0
mxu08,296.0
mxu17,67.0
mxu1j,257.0
mxu3b,67.0
mxu3e,357.0
mxu6h,66.0
mxu6x,69.0
mxud0,313.0
mxud9,70.0
mxudk,64.0
mxuep,68.0
mxufc,68.0
mxufu,87.0
mxug6,71.0
mxugy,71.0
mxv5s,355.0
mxv5z,341.0
mxvhk,511.0
mxvhw,511.0
mxvkf,69.0
mxvkk,288.0
mxvkx,274.0
mxvt2,511.0
mxvtn,70.0
mxvtz,69.0
mxvv6,175.0
mxvvw,4.0
mxvy7,69.0
mxyn1,186.0
mxyn8,69.0
mxyph,68.0
mxyq8,177.0
mxyqg,74.0
mxyre,511.0
mxyx0,255.0
mxyxt,224.0
mz37q,237.0
mz3ec,237.0
mz3st,241.0
mz3sz,241.0
mz3vu,239.0
mz3yr,239.0
mz6ee,55.0
mz6ev,56.0
mz6h0,50.0
mz6he,52.0
mz6jr,511.0
mz6ph,238.0
mz6pz,238.0
mz6qk,511.0
mz6qz,511.0
mz6u9,51.0
mz6us,511.0
mz6vr,511.0
mz6vw,49.0
mz6x7,49.0
mz7e2,511.0
mz7ef,511.0
mz7n0,49.0
mz7n5,511.0
mz7nd,49.0
mz7nz,511.0
mz7pr,50.0
mz7rs,511.0
mz7rv,511.0
mz7sk,511.0
mz7tp,511.0
mz7vf,511.0
mzd26,238.0
mzdb8,51.0
mzdck,511.0
mzddh,237.0
mzddq,237.0
mzdg7,237.0
mzdgy,238.0
mze1b,57.0
mze27,51.0
mze2t,51.0
mze4t,38.0
mze5p,51.0
mze7g,52.0
mze82,511.0
mze9g,51.0
mze9t,511.0
mzedq,48.0
mzef6,511.0
mzeg1,49.0
mzegj,511.0
mzegy,49.0
mzehd,237.0
mzejr,237.0
mzekz,53.0
mzemf,238.0
mzeqm,237.0
mzex6,237.0
mzexs,236.0
mzey2,52.0
mzezh,53.0
mzgb9,240.0
mzkp2,511.0
mzs0h,511.0
mzs0z,511.0
mzs3u,511.0
mzs6q,511.0
mzsh9,48.0
mzsjk,48.0
mzsjp,511.0
mzsmd,511.0
mzspb,51.0
mzsq3,49.0
mzsqq,511.0
mzsqu,49.0
mzssq,511.0
mzsv1,511.0
mzsve,511.0
mzsxs,511.0
mzsxv,511.0
mzsyn,511.0
mztp7,511.0
mztpy,511.0
mzu07,46.0
mzu1p,55.0
mzu3g,511.0
mzu41,241.0
mzu4k,239.0
mzu72,239.0
mzu7e,239.0
mzu8k,49.0
mzuc3,47.0
mzucq,511.0
mzudc,52.0
mzues,52.0
mzufj,46.0
mzukr,237.0
mzusp,53.0
mzut5,237.0
mzutz,239.0
mzuug,54.0
mzuye,239.0
mzv29,511.0
mzv41,511.0
mzv4s,511.0
mzv54,44.0
mzv5k,45.0
mzv79,511.0
mzvd3,511.0
mzvdg,511.0
mzvet,511.0
mzvjc,54.0
mzvk9,45.0
mzvkh,511.0
mzvm5,45.0
mzvnt,511.0
mzvp9,239.0
mzvr3,511.0
mzvrg,511.0
mzvtb,48.0
mzvtu,511.0
mzvu3,511.0
mzvug,511.0
mzvvm,511.0
mzvy2,511.0
mzvz5,511.0
mzvz9,46.0
mzyjb,511.0
mzypj,511.0
mzyrb,511.0
mzzzj,118.0
mzzzp,511.0
qp9zt,115.0
qpbgf,117.0
qpbgq,115.0
qpbgv,298.0
qpbgx,297.0
qpbmb,115.0
qpbmr,297.0
qpbms,116.0
qpbn7,118.0
qpbnc,293.0
qpbnd,118.0
qpbnr,294.0
qpbq1,293.0
qpbse,117.0
qpbsv,297.0
qpbu0,117.0
qpbu2,299.0
qpc3r,115.0
qpc3s,114.0
qpc4q,115.0
qpc4s,115.0
qpc4y,298.0
qpc55,298.0
qpc6h,298.0
qpc8r,116.0
qpc91,115.0
qpc98,511.0
qpc9j,511.0
qpcb1,115.0
qpcb9,297.0
qpcbk,297.0
qpdmv,115.0
qpdnw,114.0
qpdp5,115.0
qpdpc,299.0
qpdpp,300.0
qpdq5,113.0
qpdqe,301.0
qpdsy,116.0
qpdt8,115.0
qpdtc,296.0
qpdtr,511.0
qpdu6,116.0
qpduj,116.0
qpdv1,298.0
qpe58,116.0
qpe5g,511.0
qpe5h,116.0
qpe5u,301.0
qpe67,116.0
qpe68,116.0
qpe6w,296.0
qpe73,299.0
qpe97,117.0
qpe99,117.0
qpe9v,296.0
qpebb,116.0
qpebk,118.0
qpebp,118.0
qpeby,296.0
qpeck,511.0
qped5,296.0
qpkpc,118.0
qpkpj,120.0
qpkqd,119.0
qpkqq,116.0
qpkre,295.0
