geohash_5,NAVSTAT,freq,rnk
mrr71,0.0,1,1
mrr7m,0.0,1,1
mrref,0.0,1,1
mrru2,0.0,1,1
mrru9,0.0,1,1
mrrvn,0.0,1,1
mruc5,0.0,1,1
mrucm,0.0,1,1
mruue,0.0,1,1
mruvn,0.0,1,1
mruvp,0.0,1,1
mrv19,0.0,1,1
mrv1y,0.0,2,1
mrv60,0.0,1,1
mrv6k,0.0,1,1
mrv6m,0.0,2,1
mrvdd,0.0,1,1
mrvdu,0.0,2,1
mrvg4,0.0,3,1
mrvj6,0.0,1,1
mrvje,0.0,1,1
mrvjv,0.0,1,1
mrvjy,0.0,1,1
mrvq6,0.0,1,1
mrvq7,0.0,1,1
mrvqw,0.0,1,1
mrvwc,0.0,1,1
mrvx4,0.0,1,1
mrvxk,0.0,1,1
mrvxq,0.0,1,1
mrvzc,0.0,1,1
mrvzf,0.0,1,1
mry58,0.0,3,1
mry5u,0.0,1,1
mry5v,0.0,1,1
mryhp,0.0,1,1
mryk7,0.0,2,1
mrykm,0.0,1,1
mrys9,0.0,1,1
mrysg,0.0,1,1
mrytp,0.0,1,1
mryv0,0.0,1,1
mryv1,0.0,1,1
mryv3,0.0,1,1
mryvx,0.0,1,1
mrzjf,0.0,1,1
mrzjg,0.0,2,1
mrzju,0.0,1,1
mrzq3,0.0,1,1
mrzq6,0.0,1,1
mrzq7,0.0,1,1
mrzw8,0.0,1,1
mrzwc,0.0,2,1
mrzxn,0.0,1,1
mrzxp,0.0,1,1
mrzz0,0.0,1,1
mrzzw,0.0,1,1
mx2jt,0.0,1,1
mx2jz,0.0,1,1
mx2k2,0.0,1,1
mx2kv,0.0,1,1
mx2qw,0.0,1,1
mx2td,0.0,1,1
mx2tg,0.0,1,1
mx2x4,0.0,1,1
mx2xq,0.0,1,1
mx2y9,0.0,1,1
mx2z9,0.0,1,1
mx2zj,0.0,1,1
mx3p8,0.0,1,1
mx8bn,0.0,1,1
mx909,0.0,1,1
mx90j,0.0,1,1
mx91p,0.0,1,1
mx928,0.0,1,1
mx930,0.0,1,1
mx93m,0.0,1,1
mx93t,0.0,1,1
mx99b,0.0,1,1
mx9d1,0.0,1,1
mx9d7,0.0,1,1
mx9dk,0.0,1,1
mx9dx,0.0,1,1
mx9fb,0.0,1,1
mx9g4,0.0,1,1
mx9gt,0.0,1,1
mxbpc,0.0,2,1
mxbpg,0.0,1,1
mxd5d,0.0,1,1
mxd5v,0.0,1,1
mxdh5,0.0,1,1
mxdhq,0.0,1,1
mxdk6,0.0,1,1
mxdkt,0.0,1,1
mxdku,0.0,1,1
mxdt1,0.0,1,1
mxdt3,0.0,1,1
mxdt5,0.0,1,1
mxdtq,0.0,1,1
mxdtx,0.0,1,1
mxdvd,0.0,1,1
mxdy5,0.0,1,1
mxdyp,0.0,1,1
mxen2,0.0,1,1
mxen3,0.0,1,1
mxenu,0.0,1,1
mxenx,0.0,1,1
mxepp,0.0,1,1
mxer3,0.0,1,1
mxerq,0.0,1,1
mxerw,0.0,1,1
mxex9,0.0,1,1
mxexv,0.0,1,1
mxg85,0.0,1,1
mxgb1,0.0,1,1
mxgb8,0.0,1,1
mxgbg,0.0,1,1
mxgbm,0.0,1,1
mxgcp,0.0,1,1
mxu08,0.0,1,1
mxu17,0.0,1,1
mxu1j,0.0,1,1
mxu3b,0.0,1,1
mxu3e,0.0,1,1
mxu6h,0.0,1,1
mxu6x,0.0,1,1
mxud0,0.0,1,1
mxud9,0.0,1,1
mxudk,0.0,1,1
mxuep,0.0,1,1
mxufc,0.0,1,1
mxufu,0.0,1,1
mxug6,0.0,1,1
mxugy,0.0,1,1
mxv5s,0.0,1,1
mxv5z,0.0,1,1
mxvhk,0.0,1,1
mxvhw,0.0,1,1
mxvkf,0.0,1,1
mxvkk,0.0,1,1
mxvkx,0.0,1,1
mxvt2,0.0,1,1
mxvtn,0.0,1,1
mxvtz,0.0,1,1
mxvv6,0.0,1,1
mxvvw,0.0,1,1
mxvy7,0.0,1,1
mxyn1,0.0,1,1
mxyn8,0.0,1,1
mxyph,0.0,1,1
mxyq8,0.0,1,1
mxyqg,0.0,1,1
mxyre,0.0,1,1
mxyx0,0.0,1,1
mxyxt,0.0,1,1
mz37q,0.0,1,1
mz3ec,0.0,1,1
mz3st,0.0,1,1
mz3sz,0.0,1,1
mz3vu,0.0,1,1
mz3yr,0.0,1,1
mz6ee,0.0,1,1
mz6ev,0.0,1,1
mz6h0,0.0,1,1
mz6he,0.0,1,1
mz6jr,0.0,1,1
mz6ph,0.0,1,1
mz6pz,0.0,1,1
mz6qk,0.0,1,1
mz6qz,0.0,1,1
mz6u9,0.0,1,1
mz6us,0.0,1,1
mz6vr,0.0,1,1
mz6vw,0.0,1,1
mz6x7,0.0,1,1
mz7e2,0.0,1,1
mz7ef,0.0,1,1
mz7n0,0.0,1,1
mz7n5,0.0,1,1
mz7nd,0.0,1,1
mz7nz,0.0,1,1
mz7pr,0.0,1,1
mz7rs,0.0,1,1
mz7rv,0.0,1,1
mz7sk,0.0,1,1
mz7tp,0.0,1,1
mz7vf,0.0,1,1
mzd26,0.0,1,1
mzdb8,0.0,1,1
mzdck,0.0,1,1
mzddh,0.0,1,1
