geohash_5,SPEED
mrr71,13.2
mrr7m,13.4
mrref,13.3
mrru2,13.3
mrru9,13.0
mrrvn,12.3
mruc5,16.8
mrucm,16.7
mruue,10.7
mruvn,10.8
mruvp,12.4
mrv19,16.8
mrv1y,17.0
mrv60,16.2
mrv6k,16.7
mrv6m,16.75
mrvdd,16.8
mrvdu,16.9
mrvg4,16.8
mrvj6,12.3
mrvje,10.8
mrvjv,10.8
mrvjy,12.6
mrvq6,11.1
mrvq7,12.4
mrvqw,11.0
mrvwc,11.1
mrvx4,12.5
mrvxk,12.8
mrvxq,11.1
mrvzc,11.0
mrvzf,12.8
mry58,16.6
mry5u,16.7
mry5v,16.8
mryhp,17.6
mryk7,16.7
mrykm,17.3
mrys9,16.7
mrysg,17.3
mrytp,16.8
mryv0,16.6
mryv1,17.3
mryv3,16.6
mryvx,17.3
mrzjf,17.0
mrzjg,17.25
mrzju,16.9
mrzq3,17.6
mrzq6,16.9
mrzq7,17.1
mrzw8,16.8
mrzwc,17.3
mrzxn,16.8
mrzxp,17.2
mrzz0,17.5
mrzzw,17.0
mx2jt,12.6
mx2jz,12.0
mx2k2,11.5
mx2kv,11.8
mx2qw,12.4
mx2td,11.0
mx2tg,11.0
mx2x4,11.8
mx2xq,11.4
mx2y9,11.7
mx2z9,10.3
mx2zj,11.8
mx3p8,11.6
mx8bn,11.9
mx909,11.6
mx90j,11.4
mx91p,11.7
mx928,11.6
mx930,11.7
mx93m,11.3
mx93t,11.4
mx99b,11.1
mx9d1,11.7
mx9d7,11.9
mx9dk,11.4
mx9dx,11.0
mx9fb,11.9
mx9g4,11.5
mx9gt,11.3
mxbpc,17.1
mxbpg,16.8
mxd5d,11.6
mxd5v,11.4
mxdh5,11.1
mxdhq,11.0
mxdk6,11.2
mxdkt,11.3
mxdku,11.2
mxdt1,11.2
mxdt3,11.1
mxdt5,11.8
mxdtq,11.9
mxdtx,11.2
mxdvd,11.7
mxdy5,11.3
mxdyp,12.1
mxen2,10.8
mxen3,12.1
mxenu,10.9
mxenx,11.8
mxepp,10.0
mxer3,10.0
mxerq,11.6
mxerw,10.9
mxex9,12.1
mxexv,12.4
mxg85,10.7
mxgb1,12.2
mxgb8,11.2
mxgbg,11.3
mxgbm,12.7
mxgcp,11.3
mxu08,12.9
mxu17,11.1
mxu1j,13.0
mxu3b,11.6
mxu3e,12.3
mxu6h,11.3
mxu6x,11.2
mxud0,13.0
mxud9,11.3
