,geohash_5,geohash_5_dest,epochs_gap
0,mrr71,mrr7m,3127.0
1,mrr7m,mrref,3682.0
2,mrref,mrru2,4207.0
3,mrru2,mrru9,1150.0
4,mrru9,mrrvn,4192.0
5,mrrvn,mx2jt,5229.0
6,mruc5,mrv19,3662.0
7,mrucm,mruc5,2139991.0
8,mruue,mrr71,2528795.0
9,mruvn,mruue,3238.0
10,mruvp,mrvj6,1929.0
11,mrv19,mrv1y,2867.0
12,mrv1y,mruvp,2492613.0
13,mrv1y,mrv6k,3452.0
14,mrv60,mrucm,6360.0
15,mrv6k,mrvdd,3605.0
16,mrv6m,mrv1y,3877.0
17,mrv6m,mrv60,3220.0
18,mrvdd,mrvg4,4811.0
19,mrvdu,mrv6m,3825.5
20,mrvg4,mrvdu,3526.5
21,mrvg4,mry58,3549.0
22,mrvj6,mrvjy,4015.0
23,mrvje,mruvn,4724.0
24,mrvjv,mrvje,1618.0
25,mrvjy,mrvq7,3343.0
26,mrvq6,mrvjv,4412.0
27,mrvq7,mrvx4,5981.0
28,mrvqw,mrvq6,4444.0
29,mrvwc,mrvqw,1934.0
30,mrvx4,mrvxk,1973.0
31,mrvxk,mrvzf,4366.0
32,mrvxq,mrvwc,4580.0
33,mrvzc,mrvxq,3453.0
34,mrvzf,t2jbj,2641.0
35,mry58,mrvg4,3657.5
36,mry58,mry5v,2480.0
37,mry5u,mry58,2567.0
38,mry5v,mryk7,3535.0
39,mryhp,mry58,3673.0
40,mryk7,mry5u,3691.0
41,mryk7,mrytp,7072.0
42,mrykm,mryhp,3739.0
43,mrys9,mryk7,3699.0
44,mrysg,mrykm,3200.0
45,mrytp,mrzjf,6330.0
46,mryv0,mrys9,4119.0
47,mryv1,mrysg,3174.0
48,mryv3,mryv0,968.0
49,mryvx,mryv1,3379.0
50,mrzjf,mrzju,1622.0
51,mrzjg,mryv3,5870.0
52,mrzjg,mryvx,2753.0
53,mrzju,mrzq6,2976.0
54,mrzq3,mrzjg,3043.0
55,mrzq6,mrzw8,3621.0
56,mrzq7,mrzjg,4118.0
57,mrzw8,mrzxn,3739.0
58,mrzwc,mrzq3,4679.0
59,mrzwc,mrzq7,3652.0
60,mrzxn,mxbpc,6588.0
61,mrzxp,mrzwc,3371.0
62,mrzz0,mrzwc,3652.0
63,mrzzw,mrzxp,3950.0
64,mx2jt,mx2jz,1780.0
65,mx2jz,mx2qw,6193.0
66,mx2k2,mx2kv,4270.0
67,mx2kv,mx2td,4724.0
68,mx2qw,mx2x4,3077.0
69,mx2td,mx2tg,1443.0
70,mx2tg,mx2y9,5485.0
71,mx2x4,mx2xq,3854.0
72,mx2xq,mx2z9,2363.0
73,mx2y9,mx2zj,3580.0
74,mx2z9,mx8bn,4157.0
75,mx2zj,mx3p8,2230.0
76,mx3p8,mx90j,4887.0
77,mx8bn,mx909,2910.0
78,mx909,mx91p,5144.0
79,mx90j,mx928,3480.0
80,mx91p,mx930,831.0
81,mx928,mx93m,4118.0
82,mx930,mx93t,5175.0
83,mx93m,mx99b,3697.0
84,mx93t,mx9d1,3651.0
85,mx99b,mx9dk,3555.0
86,mx9d1,mx9d7,1737.0
87,mx9d7,mx9fb,4043.0
88,mx9dk,mx9dx,2446.0
89,mx9dx,mx9g4,3395.0
90,mx9fb,mxd5d,8868.0
91,mx9g4,mx9gt,2737.0
92,mx9gt,mxdh5,5453.0
93,mxbpc,mrzz0,4918.0
94,mxbpc,mxbpg,612.0
95,mxbpg,t8027,4833.0
