port_code,epochs_gap_min,epochs_gap_median,epochs_gap_mean,epochs_gap_max,epochs_gap_std,freq
BDCGP,212.0,1348.5,1566.25,3972.0,1358.020276515992,8
IDDUM,67.0,33717.0,175871.66666666666,803348.0,271212.12568255496,9
INBOM,7021.0,61731.5,92690.125,544839.0,132186.75012414574,16
INHZR,209.0,2222.0,35410.0,214004.0,73818.09297184533,8
INIXY,5171.0,93451.0,174156.5,616091.0,217814.06592845585,9
INJGD,452.0,1890.0,1890.0,3328.0,2033.6391026925107,2
INKAK,304.0,2015.0,2062.25,3915.0,1564.467827516224,4
INKRI,1540.0,5201.0,4828.666666666667,7745.0,3119.2114922418023,3
INMAA,1933.0,1933.0,1933.0,1933.0,0.0,1
INMUN,79.0,23269.0,474861.4166666667,5196283.0,1289189.9266532997,24
INNML,300.0,35226.5,194936.91666666666,1520697.0,429943.86403627973,12
INNSA,524.0,60983.0,591615.3846153846,5213714.0,1489471.2387135096,14
INSIK,1001.0,1353.0,1353.0,1705.0,497.80317395532944,2
INTUT,2631.0,4376.0,4376.0,6121.0,2467.802666341051,2
INVTZ,65096.0,485678.0,485678.0,906260.0,594792.7684900011,2
LKCMB,1212.0,96451.5,1914674.0,7366082.0,3082246.8326865784,10
MYPEN,1238.0,2025.5,2025.5,2813.0,1113.6931803688124,2
MYPGU,3.0,1348.0,1488.7,3545.0,1175.9970428651538,30
MYPKG,342.0,1961.0,73179.91666666667,2253741.0,374847.8451960684,36
MYTLA,555.0,3083.0,2522.5,3369.0,1318.8362294083372,4
MYTPP,265.0,2508.5,2002.2,3388.0,1201.0213061298195,10
No port,4.0,3602.0,18022.836556262544,97691289.0,521027.6502745853,64299
PKBQM,8691.0,79432.0,131460.08,720523.0,178564.8182560794,31
PKKHI,2511.0,72355.0,475043.94736842107,4712735.0,1226719.9526105954,20
SGSIN,124.0,2989.0,301746.08108108107,6086118.0,992138.6881636363,75
THBKK,2702.0,72988.0,190378.22222222222,964757.0,317499.6582977601,9
THMAT,2446.0,68453.0,476614.9166666667,4901892.0,1394890.8165000167,12
THSGK,72978.0,85712.0,85712.0,98446.0,18008.59550325899,2
THSRI,1643.0,375128.5,3484955.75,13187923.0,6478163.778216653,4
VNGDA,267.0,1538.5,1538.5,2810.0,1798.1725445573904,2
VNSGN,982.0,1614.5,1765.0,2730.0,794.7366859532785,6
