vessel_IMO,vessel_Year Built,vessel_Length,vessel_Width,vessel_Draught,vessel_Avg Speed,vessel_Max Speed,vessel_Deadweight,vessel_Gross Tonnage,vessel_AIS Class ,vessel_TEU,vessel_DRAUGHT_min,vessel_DRAUGHT_mean,vessel_DRAUGHT_median,vessel_DRAUGHT_max,vessel_DRAUGHT_std,vessel_Draught_per_Draught_max,vessel_SPEED_min,vessel_SPEED_mean,vessel_SPEED_median,vessel_SPEED_max,vessel_SPEED_std
9252448,2003.0,182,32,9.1,10.5,18.7,47323.0,27463.0,A,,0.0,8.356482457461226,8.5,21.4,1.57721843334297,0.4252336448598131,0.0,1.461632284294534,0.0,15.5,3.767295934824865
9760304,2016.0,164,27,8.9,13.2,19.6,21788.0,17791.0,A,,0.0,8.190643585386576,8.3,10.5,1.177211738565368,0.8476190476190476,0.0,4.757752761257434,0.0,19.1,6.72213671717874
9339935,2005.0,120,21,6.0,9.3,16.0,13268.0,9587.0,A,,4.3,6.8539146453791835,7.0,17.0,1.7569683236306504,0.35294117647058826,0.0,3.585830518882407,0.1,15.7,5.198050310608062
9213117,2001.0,199,30,9.4,13.7,28.4,33917.0,25535.0,A,,0.8,9.473212593450564,9.9,14.5,1.6396347119413421,0.6482758620689656,0.0,6.130830788670107,0.2,21.2,7.361255220900894
9615145,2012.0,170,27,7.3,10.0,16.8,28190.0,17019.0,A,,5.0,7.6655059847660505,8.4,10.1,1.5936033835022296,0.7227722772277227,0.0,4.01006528835691,0.1,15.9,5.767792055285552
9267857,2003.0,116,20,7.0,9.4,14.1,12260.0,7265.0,A,,4.2,7.041664556427788,8.4,9.1,1.9412464595094823,0.7692307692307693,0.0,4.001806364480459,0.1,16.6,5.0870099481965605
9493896,2010.0,225,32,10.3,11.0,17.7,75200.0,41101.0,A,,6.7,11.45,13.2,14.4,2.6940954165958058,0.7152777777777778,0.0,8.375984848484848,11.6,29.4,5.66484234170767
9335886,2008.0,175,30,8.3,10.1,16.3,32114.0,19831.0,A,,0.0,10.58714953271028,10.0,21.0,4.602674010487899,0.3952380952380953,0.0,4.333785046728972,0.1,15.3,5.669635968515491
9873254,2020.0,127,24,6.1,11.5,17.5,12602.0,7294.0,A,,0.0,6.568571428571429,6.2,9.6,1.3609797557135401,0.6354166666666666,0.0,6.056488095238095,0.1,18.0,6.905199911448308
9651747,,100,15,4.9,10.7,14.7,,,A,,3.8,4.9035714285714285,5.1,5.1,0.43310212729541503,0.9607843137254903,0.0,7.661904761904762,11.2,14.5,5.5984056414090055
9267027,2004.0,174,29,9.9,8.8,16.9,38779.0,25507.0,A,,7.5,10.629941291585126,12.0,12.4,2.047488080608192,0.7983870967741935,0.0,7.0654690618762475,10.3,15.4,5.319127007077714
9761944,2016.0,228,32,8.3,10.0,16.5,74040.0,42826.0,A,,8.4,10.03868335146899,9.3,13.8,1.886651908515029,0.6014492753623188,0.0,9.292002206287922,12.4,16.4,5.7097924303979
9706061,2015.0,183,32,8.2,9.3,16.9,49999.0,29751.0,A,,6.0,8.446695095948828,8.4,12.5,1.322768695379751,0.6559999999999999,0.0,6.54144927536232,8.6,17.3,5.910236759278318
9243497,2001.0,171,27,6.8,9.9,15.8,29756.0,17977.0,A,,0.0,6.164009111617312,5.3,10.0,1.5479485201134295,0.6799999999999999,0.0,2.3741339491916857,0.0,14.5,4.534265197379199
9910911,2021.0,127,19,7.5,9.6,15.1,14200.0,9976.0,A,,5.2,7.109913793103448,7.9,9.8,1.5686504279856457,0.7653061224489796,0.0,6.854344624447718,10.4,15.1,6.250546251451213
9863807,,200,32,9.8,9.5,16.0,,,A,,5.2,11.738586326767091,13.0,13.6,2.7010320866876625,0.7205882352941178,0.0,4.364754098360656,0.1,15.6,6.022457882208769
9340752,2007.0,260,32,10.5,11.7,22.9,52599.0,39906.0,A,,7.5,11.709621115368243,11.7,12.7,0.8267211571730158,0.8267716535433072,0.0,9.599087353324641,12.5,19.9,6.81894700794402
9181120,1999.0,190,31,9.2,9.0,15.6,46620.0,27011.0,A,,6.4,9.110961737331955,8.9,11.8,2.134281897742505,0.7796610169491525,0.0,6.367221644120707,10.1,15.0,5.6293388341969335
9877626,,169,25,8.7,9.6,16.9,,,A,,7.5,8.573883161512027,8.9,10.1,0.8071694092736728,0.8613861386138614,0.0,4.258122743682311,0.1,15.1,5.938719126961415
9634907,2013.0,170,27,8.4,10.0,16.7,29029.0,18462.0,A,,7.0,8.24074074074074,9.0,9.0,0.88466024282804,0.9333333333333333,0.0,7.288461538461538,11.0,13.8,5.573137856838094
